Sun Jun 21 19:04:15 +0000 2015	Ebola hit with ripening to oust miliband lives	
Sun Jun 21 19:04:17 +0000 2015	'Emerging Diseases' takes on MERS, Ebola, more'Dreaded infectious diseases' now emerging, e-book warnsRead more at http://t.co/wzmEHaNb7K	
Sun Jun 21 19:04:22 +0000 2015	Not all holiday specials have to be a "VERY" something. I,would watch "A MILD Ebola Outbrqak Christmas."	
Sun Jun 21 19:04:27 +0000 2015	RT @GRADIDUR_: Le Lacoste je crois il a ebola 😂😂😂😂😂 http://t.co/5h3i4U2NDc	
Sun Jun 21 19:04:44 +0000 2015	Kenyan nurses from #Ebola mission to be rewarded https://t.co/dwNSXypicy http://t.co/M6Zfcdz887	
Sun Jun 21 19:04:48 +0000 2015	RT @TheDjinnTrials: You know, it's always fun to run into a crowded corridor and yell "I have ebola, hug me!"	
Sun Jun 21 19:04:53 +0000 2015	RT @ViralesPOP: Divertida ocurrencia del gato Tom sobre la nueva enfermedad peor que el ebola (+VÍDEO)http://t.co/6JhMuymg9U http://t.co/N…	
Sun Jun 21 19:04:58 +0000 2015	@JooPavanelli.   http://t.co/wZK9r4SUld .	
Sun Jun 21 19:04:59 +0000 2015	Retweet to help young enzo fight ebola #fightebola #hope #socialcompany #matcha http://t.co/LUAu5VlPuo	
Sun Jun 21 19:04:59 +0000 2015	RT @La_Dexterite: Le gar a payé mèche, iPhone pour elle. Au moment de Mougou la go dit "J'ai EBOLA" le gar dit "même si ta DEBORAH je vais …	
Sun Jun 21 19:05:01 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/vDzeWQs0OA http://t.co/4Vn7KlkVXu	
Sun Jun 21 19:05:10 +0000 2015	me da ebola los que ponen ''feliz dia pa te quiero blabla'' en FB, o sea es una red social, no es necesario que lo publiques	
Sun Jun 21 19:05:11 +0000 2015	! Ebola: basic fluid and nutrition care ′being missed′ on http://t.co/1Mi0o6fjH5	
Sun Jun 21 19:05:32 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:05:33 +0000 2015	RT @CapitalFM_kenya: Kenyan nurses from #Ebola mission to be rewarded https://t.co/dwNSXypicy http://t.co/M6Zfcdz887	
Sun Jun 21 19:05:51 +0000 2015	( ALERT 18+ ) EBOLA VIRUS found in these countries SEE List here on next page =&gt;&gt; http://t.co/W2TwtOknFR http://t.co/O0rWih6gur	
Sun Jun 21 19:05:53 +0000 2015	There's a dark stain on a page of my book on Ebola in what I can only assume is a highly effective campaign to stop people buying used books	
Sun Jun 21 19:05:55 +0000 2015	RT @SrTarro: En claze: 2 naraa + 4 pera = 6 frutaEner ezamen: deduce la formula de la vacuna contra er zida y er ebola y escribela conun b…	
Sun Jun 21 19:06:04 +0000 2015	HI THER, Potatos ebola violets obvious cheese deep #e3	
Sun Jun 21 19:06:09 +0000 2015	RT @vicecanada: Did the Ancient Greeks Get Ebola? http://t.co/iPqSB0bwNe http://t.co/vqNz1yxCcd	
Sun Jun 21 19:06:26 +0000 2015	@niallxselfie MDRRRRRR ON A PAS L'EBOLA	
Sun Jun 21 19:06:29 +0000 2015	Kenya Ebola volunteers to be rewarded - By admin By PSCULiberia has now been declared Ebola free... http://t.co/NPHD9C5nAq #Kenya	
Sun Jun 21 19:06:45 +0000 2015	Kim Jong-Un Reportedly Has A Miracle Drug That Can Cure Ebola, AIDS, And MERS http://t.co/jFmvVAcDBw via @UPROXX	
Sun Jun 21 19:06:58 +0000 2015	La mama de eli buscando la cura al ebola @eliibocco  JAJAJAAJAAA	
Sun Jun 21 19:07:32 +0000 2015	RT @EbolaGC: Helping #Ebola survivors in Liberia to rebuild their lives one step at a time @allafrica http://t.co/FbgqnwfKcP	
Sun Jun 21 19:07:33 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/8CacROYWds	
Sun Jun 21 19:07:34 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/H6exwb1ewx	
Sun Jun 21 19:07:34 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/sdJBeYrTsR	
Sun Jun 21 19:07:34 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/5VP0XEi5LV	
Sun Jun 21 19:07:35 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/s8MOBcRZ8X	
Sun Jun 21 19:07:35 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/Osd5XOwXF3	
Sun Jun 21 19:07:36 +0000 2015	Liberia has made a travel advisory as Ebola cases increase in Guinea and Sierra Leone. ebola sierra guinea http://t.co/Oe1nhbJT87	
Sun Jun 21 19:07:39 +0000 2015	Jurez Votre JJ Fish il a pas ebola	
Sun Jun 21 19:07:43 +0000 2015	#HappyFathersDay i salute all the health workers who made  huge sacriface to go west Africa to fight Ebola.true pan africanist.	
Sun Jun 21 19:07:47 +0000 2015	Thank god we can all breathe easy now that Kim Jong Un has cured AIDS, SARS, Ebola, and MERS with a single drug	
Sun Jun 21 19:07:52 +0000 2015	With new Ebola infections down, vaccine trials fight odds of successhttp://t.co/Ns6A9nl8h1 http://t.co/lrRNVVXZnM	
Sun Jun 21 19:08:02 +0000 2015	RT @julienpotet: The Case for Improved #Diagnostic Tools to Control #Ebola in W Africa and How to Get There http://t.co/jmTD68fT1a	
Sun Jun 21 19:08:11 +0000 2015	RT @teboho_lehoko: All the time https://t.co/MdYPoCumsi	
Sun Jun 21 19:08:18 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News http://t.co/gktT5S5Bjk	
Sun Jun 21 19:08:51 +0000 2015	KKK Caught Mailing Ebola Virus http://t.co/HccV7BzUpx	
Sun Jun 21 19:08:53 +0000 2015	RT @Latentes: Pricks on student room are like:"I got 20 A*s at ALevel, 60 GCSE's, 920 UKCAT and a cure for Ebola bt idk if its enough for …	
